epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81082,2.33823,7.47897,1.72639,0.00685,0.03571,0.00544,0.00257,2.09351,5.39601,1.43136,0.0001125,0.0001125,0.0001125
2,8.05711,1.96645,4.57706,1.45932,0.07964,0.21763,0.05547,0.03475,1.74405,20.4984,1.25846,0.000233581,0.000233581,0.000233581
3,11.3765,1.64002,3.12746,1.26749,0.3656,0.20438,0.20464,0.12748,1.40055,5.00921,1.19155,0.000350537,0.000350537,0.000350537
4,14.5633,1.70036,2.46874,1.2644,0.71635,0.28479,0.35867,0.18552,1.67346,5.87618,1.30458,0.000463369,0.000463369,0.000463369
5,17.4878,1.54526,1.94611,1.19222,0.66912,0.51317,0.5683,0.29685,1.35064,2.52723,1.20609,0.000572075,0.000572075,0.000572075
6,20.3615,1.48891,1.72015,1.18771,0.81164,0.38645,0.62876,0.32562,1.33453,1.90918,1.15758,0.000676656,0.000676656,0.000676656
7,23.2527,1.50263,1.58496,1.12927,0.53179,0.51365,0.46243,0.2577,1.4478,1.86482,1.21677,0.000777113,0.000777113,0.000777113
8,26.1291,1.47086,1.38115,1.14458,0.74841,0.64969,0.71559,0.42121,1.51014,1.50483,1.28563,0.000873444,0.000873444,0.000873444
9,28.9633,1.45332,1.37038,1.15579,0.84208,0.64062,0.7115,0.37331,1.56299,1.3265,1.32923,0.00096565,0.00096565,0.00096565
10,31.8513,1.42059,1.33583,1.12645,0.79086,0.5839,0.66318,0.39733,1.56316,1.36936,1.27844,0.00105373,0.00105373,0.00105373
11,34.6594,1.45352,1.31631,1.21058,0.70206,0.65096,0.68003,0.40806,1.42813,1.39628,1.23082,0.00104375,0.00104375,0.00104375
12,37.6909,1.54553,1.31046,1.17727,0.72405,0.59431,0.64883,0.34882,1.46135,1.3321,1.30497,0.00102312,0.00102312,0.00102312
13,40.7433,1.36278,1.09966,1.1427,0.61809,0.54922,0.72165,0.37414,1.48864,1.48038,1.30928,0.0010025,0.0010025,0.0010025
14,43.6436,1.37784,1.07855,1.11555,0.82728,0.62847,0.81806,0.49672,1.46819,1.61916,1.24789,0.000981875,0.000981875,0.000981875
15,46.4693,1.39447,1.03583,1.12967,0.66206,0.68216,0.83918,0.49115,1.47891,1.44119,1.25272,0.00096125,0.00096125,0.00096125
16,49.2973,1.27019,1.05172,1.08994,0.65248,0.71487,0.83332,0.46904,1.42191,1.22866,1.22521,0.000940625,0.000940625,0.000940625
17,52.0996,1.29596,0.94283,1.04863,0.77867,0.79894,0.86689,0.48564,1.331,0.97455,1.22015,0.00092,0.00092,0.00092
18,54.9489,1.27207,0.83877,1.07213,0.81813,0.7725,0.84706,0.46917,1.354,1.11423,1.21982,0.000899375,0.000899375,0.000899375
19,57.7658,1.24625,0.91285,1.07764,0.83818,0.79129,0.83956,0.50026,1.32473,1.02558,1.17025,0.00087875,0.00087875,0.00087875
20,60.6991,1.24857,0.89463,1.07985,0.93275,0.7845,0.8643,0.49526,1.31677,0.9413,1.166,0.000858125,0.000858125,0.000858125
21,63.5261,1.19593,0.87769,1.05371,0.89744,0.82378,0.87473,0.51622,1.38649,0.83747,1.21967,0.0008375,0.0008375,0.0008375
22,66.371,1.23727,0.81535,1.05546,0.8654,0.91217,0.91874,0.54494,1.42694,0.8208,1.21535,0.000816875,0.000816875,0.000816875
23,69.2153,1.23488,0.87359,1.02084,0.88564,0.91175,0.93214,0.57077,1.33912,0.79909,1.16918,0.00079625,0.00079625,0.00079625
24,72.0775,1.1943,0.81079,1.04563,0.91425,0.89148,0.94056,0.57259,1.31711,0.78201,1.16439,0.000775625,0.000775625,0.000775625
25,74.8728,1.15598,0.76129,1.01112,0.86414,0.89162,0.93761,0.565,1.34299,0.78446,1.17773,0.000755,0.000755,0.000755
26,77.7457,1.10474,0.6908,1.01603,0.8595,0.895,0.93769,0.61157,1.26145,0.77277,1.13016,0.000734375,0.000734375,0.000734375
27,80.6207,1.21855,0.71572,1.08711,0.90234,0.90636,0.93637,0.5836,1.26413,0.74357,1.1311,0.00071375,0.00071375,0.00071375
28,83.3963,1.15996,0.74348,1.03158,0.89865,0.91489,0.92044,0.5463,1.34475,0.77299,1.1806,0.000693125,0.000693125,0.000693125
29,86.3394,1.08078,0.66851,1.00448,0.92977,0.89268,0.92863,0.55173,1.34244,0.78178,1.17263,0.0006725,0.0006725,0.0006725
30,89.2314,1.08337,0.6868,1.01859,0.85913,0.91373,0.92812,0.55915,1.2593,0.74751,1.1599,0.000651875,0.000651875,0.000651875
31,92.0135,1.10519,0.6761,1.04269,0.90004,0.83765,0.91183,0.53487,1.36153,0.76799,1.22702,0.00063125,0.00063125,0.00063125
32,94.9134,1.05324,0.66305,1.02182,0.81915,0.84121,0.91122,0.54632,1.42001,0.77495,1.2256,0.000610625,0.000610625,0.000610625
33,97.8062,0.99631,0.65107,0.98665,0.9378,0.78412,0.93774,0.58758,1.37581,0.75866,1.18881,0.00059,0.00059,0.00059
34,100.653,1.08187,0.6675,0.99537,0.91339,0.85673,0.94193,0.59515,1.32128,0.70483,1.15439,0.000569375,0.000569375,0.000569375
35,103.447,1.00205,0.61029,0.99277,0.90343,0.84942,0.92515,0.562,1.40141,0.71293,1.20473,0.00054875,0.00054875,0.00054875
36,106.217,1.04806,0.65099,0.98441,0.90616,0.83291,0.91759,0.55854,1.3817,0.73436,1.19448,0.000528125,0.000528125,0.000528125
37,109.031,1.06934,0.66171,0.97594,0.90714,0.85132,0.93057,0.57371,1.36187,0.73846,1.18021,0.0005075,0.0005075,0.0005075
38,111.862,0.97441,0.62793,0.95727,0.92077,0.90561,0.93868,0.6196,1.27763,0.66809,1.14005,0.000486875,0.000486875,0.000486875
39,114.694,1.01705,0.60236,0.97098,0.92334,0.91228,0.94003,0.59115,1.28524,0.66438,1.1495,0.00046625,0.00046625,0.00046625
40,117.605,0.9851,0.58798,0.97217,0.94932,0.90553,0.93819,0.58371,1.29895,0.67076,1.15576,0.000445625,0.000445625,0.000445625
41,120.442,0.95696,0.57792,0.94422,0.93649,0.9218,0.94913,0.59794,1.26996,0.66351,1.14074,0.000425,0.000425,0.000425
42,123.312,0.97939,0.58534,0.96145,0.94926,0.90419,0.95005,0.61514,1.23372,0.64069,1.12101,0.000404375,0.000404375,0.000404375
43,126.157,0.96303,0.61449,0.97961,0.93674,0.91657,0.95097,0.64247,1.23724,0.64766,1.12026,0.00038375,0.00038375,0.00038375
44,128.973,0.97922,0.56663,0.95754,0.93943,0.93199,0.95481,0.6592,1.24336,0.65031,1.11789,0.000363125,0.000363125,0.000363125
45,131.827,0.96446,0.58767,0.9644,0.94485,0.92876,0.95764,0.63887,1.26505,0.65408,1.12504,0.0003425,0.0003425,0.0003425
46,134.64,0.94538,0.55388,0.9468,0.94348,0.92961,0.96005,0.61651,1.32402,0.66452,1.15851,0.000321875,0.000321875,0.000321875
