epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37504,2.222,5.11367,1.67378,0.36187,0.24296,0.07508,0.04528,1.96499,15.8561,1.40352,0.0001875,0.0001875,0.0001875
2,11.3823,1.73266,2.83209,1.28094,0.23926,0.4597,0.30075,0.17302,1.55606,3.34311,1.21039,0.000381106,0.000381106,0.000381106
3,16.3661,1.57454,1.9576,1.21676,0.47212,0.50542,0.42874,0.23912,1.56559,2.39743,1.24494,0.000568112,0.000568112,0.000568112
4,21.1812,1.49635,1.80156,1.1806,0.57578,0.50086,0.48292,0.29647,1.48442,2.17589,1.21701,0.000748519,0.000748519,0.000748519
5,25.9218,1.50676,1.59143,1.2242,0.75453,0.38389,0.54863,0.32828,1.45952,2.39495,1.20863,0.000922325,0.000922325,0.000922325
6,30.6769,1.50698,1.50005,1.17655,0.59707,0.62657,0.65592,0.39049,1.442,2.3996,1.17873,0.00108953,0.00108953,0.00108953
7,35.2767,1.45598,1.35127,1.17557,0.71532,0.52728,0.65232,0.32704,1.79444,1.54889,1.32675,0.00112625,0.00112625,0.00112625
8,39.8697,1.36698,1.18707,1.13608,0.76714,0.73131,0.77961,0.49555,1.3081,1.31362,1.11356,0.00110563,0.00110563,0.00110563
9,44.5803,1.43711,1.21359,1.13954,0.57982,0.69717,0.69787,0.3828,1.60211,1.65015,1.2627,0.001085,0.001085,0.001085
10,49.2053,1.35537,1.08369,1.10833,0.76548,0.67648,0.76822,0.43814,1.50541,1.41982,1.21891,0.00106437,0.00106437,0.00106437
11,53.8168,1.25975,0.95622,1.09429,0.59422,0.74553,0.78974,0.46952,1.39394,1.46667,1.16364,0.00104375,0.00104375,0.00104375
12,58.3977,1.29408,0.98373,1.09158,0.80472,0.65696,0.82679,0.49262,1.40686,1.199,1.16499,0.00102312,0.00102312,0.00102312
13,62.9352,1.25707,0.91005,1.07832,0.83296,0.74884,0.85707,0.54848,1.36191,1.07675,1.13652,0.0010025,0.0010025,0.0010025
14,67.5859,1.24909,0.90184,1.07852,0.82816,0.78461,0.88434,0.58798,1.26259,1.00434,1.10658,0.000981875,0.000981875,0.000981875
15,72.2669,1.24959,0.87132,1.06759,0.94607,0.73756,0.86839,0.56544,1.33653,1.0728,1.11876,0.00096125,0.00096125,0.00096125
16,76.9975,1.16243,0.80941,1.05688,0.95917,0.8135,0.90562,0.61692,1.2329,0.96942,1.08366,0.000940625,0.000940625,0.000940625
17,81.7192,1.1972,0.79322,1.04797,0.89615,0.80106,0.91504,0.61674,1.23881,0.90176,1.08312,0.00092,0.00092,0.00092
18,86.4043,1.18252,0.81419,1.04736,0.94586,0.83437,0.91711,0.60058,1.3698,0.93853,1.12845,0.000899375,0.000899375,0.000899375
19,91.0653,1.1927,0.83824,1.02716,0.87338,0.79775,0.88996,0.60789,1.26868,0.99671,1.08173,0.00087875,0.00087875,0.00087875
20,95.7066,1.18598,0.80261,1.04407,0.8633,0.74421,0.85202,0.5457,1.38787,1.13346,1.12567,0.000858125,0.000858125,0.000858125
21,100.289,1.10019,0.70678,1.02356,0.82744,0.74981,0.81655,0.51876,1.40917,1.14722,1.1391,0.0008375,0.0008375,0.0008375
22,104.921,1.15563,0.77329,1.05444,0.93936,0.83895,0.90756,0.62535,1.1987,0.89049,1.06382,0.000816875,0.000816875,0.000816875
23,109.592,1.09262,0.69078,1.01319,0.91795,0.83381,0.92525,0.60933,1.24705,0.89935,1.08529,0.00079625,0.00079625,0.00079625
24,114.273,1.11946,0.70955,1.01297,0.92199,0.82497,0.93493,0.61432,1.33458,0.86404,1.10253,0.000775625,0.000775625,0.000775625
