epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43237,2.09455,5.73491,1.58556,0.6023,0.17996,0.05291,0.03011,1.8438,29.2445,1.3762,0.0001875,0.0001875,0.0001875
2,11.7886,1.67521,3.10181,1.25832,0.56543,0.36075,0.43301,0.26345,1.56601,4.91184,1.23187,0.000381106,0.000381106,0.000381106
3,16.848,1.52993,1.95632,1.22726,0.67817,0.51822,0.62087,0.35516,1.51457,2.39285,1.25811,0.000568112,0.000568112,0.000568112
4,21.8005,1.45358,1.71427,1.20278,0.83322,0.42555,0.62659,0.40073,1.42999,2.16025,1.20229,0.000748519,0.000748519,0.000748519
5,26.7248,1.46177,1.52159,1.20583,0.67828,0.49027,0.50422,0.31223,1.43585,1.62087,1.20733,0.000922325,0.000922325,0.000922325
6,31.588,1.44293,1.44876,1.17872,0.67821,0.65707,0.68524,0.43601,1.35035,1.34893,1.14355,0.00108953,0.00108953,0.00108953
7,36.5098,1.41232,1.21594,1.17958,0.69272,0.64153,0.72289,0.41869,1.45496,1.42144,1.18594,0.00112625,0.00112625,0.00112625
8,41.4077,1.37985,1.09466,1.15391,0.7492,0.65757,0.74447,0.48292,1.3182,1.29131,1.12857,0.00110563,0.00110563,0.00110563
9,46.431,1.39648,1.14881,1.14277,0.64542,0.73698,0.59575,0.32427,1.58538,2.47211,1.26124,0.001085,0.001085,0.001085
10,51.3139,1.30838,1.00678,1.10357,0.7086,0.73893,0.79226,0.47287,1.36683,1.22245,1.18217,0.00106437,0.00106437,0.00106437
11,56.2159,1.24776,0.92235,1.10654,0.84338,0.79942,0.85304,0.52537,1.31388,1.2275,1.15717,0.00104375,0.00104375,0.00104375
12,61.2962,1.30017,0.92435,1.11287,0.69151,0.79097,0.86579,0.50582,1.37036,1.22594,1.13729,0.00102312,0.00102312,0.00102312
13,66.0968,1.24739,0.88033,1.09008,0.79579,0.77893,0.85894,0.52117,1.33375,1.07505,1.12704,0.0010025,0.0010025,0.0010025
14,70.9542,1.24145,0.84304,1.07763,0.83495,0.72133,0.87667,0.56667,1.26343,1.21414,1.09221,0.000981875,0.000981875,0.000981875
15,75.8662,1.27764,0.87605,1.08522,0.79429,0.77273,0.86898,0.55131,1.25836,1.08994,1.1092,0.00096125,0.00096125,0.00096125
16,80.7455,1.1355,0.79899,1.0686,0.79605,0.80155,0.85924,0.52723,1.36353,1.11382,1.15668,0.000940625,0.000940625,0.000940625
17,85.6411,1.1669,0.74554,1.05862,0.95134,0.85465,0.91723,0.59339,1.20676,0.8678,1.07845,0.00092,0.00092,0.00092
18,90.4892,1.16788,0.77736,1.05617,0.92589,0.87052,0.9274,0.60543,1.23894,0.79308,1.08342,0.000899375,0.000899375,0.000899375
19,95.3737,1.16457,0.76202,1.03098,0.89799,0.81466,0.9107,0.60109,1.24742,0.79666,1.08946,0.00087875,0.00087875,0.00087875
20,100.24,1.13327,0.7334,1.04204,0.92501,0.88609,0.91514,0.59902,1.28019,0.88391,1.1061,0.000858125,0.000858125,0.000858125
21,105.097,1.05003,0.64124,1.01109,0.91982,0.87088,0.91229,0.61192,1.25077,0.87213,1.09048,0.0008375,0.0008375,0.0008375
22,110.018,1.09123,0.70267,1.04418,0.90871,0.88612,0.91473,0.61779,1.20525,0.81127,1.07599,0.000816875,0.000816875,0.000816875
23,114.961,1.08163,0.63596,1.02189,0.90422,0.82011,0.90445,0.61248,1.23648,0.79904,1.07981,0.00079625,0.00079625,0.00079625
24,119.91,1.06553,0.66368,1.00789,0.86844,0.82874,0.92674,0.61809,1.27718,0.86204,1.09113,0.000775625,0.000775625,0.000775625
25,124.844,1.04501,0.63986,0.98495,0.84267,0.87513,0.92984,0.61223,1.27548,0.82604,1.09259,0.000755,0.000755,0.000755
26,129.786,1.05215,0.61687,0.99539,0.94657,0.87143,0.93855,0.62993,1.26292,0.79235,1.07652,0.000734375,0.000734375,0.000734375
27,134.762,1.05919,0.63845,1.01612,0.91467,0.85752,0.94012,0.63101,1.23953,0.77344,1.07831,0.00071375,0.00071375,0.00071375
28,139.633,1.03188,0.61076,0.99935,0.83499,0.85205,0.92411,0.61634,1.29869,0.82586,1.10128,0.000693125,0.000693125,0.000693125
29,144.469,1.01866,0.59936,1.00242,0.88906,0.8074,0.89833,0.59358,1.27321,0.88637,1.09107,0.0006725,0.0006725,0.0006725
30,149.541,1.0473,0.61872,0.99641,0.87964,0.82618,0.91858,0.63453,1.23735,0.78372,1.07166,0.000651875,0.000651875,0.000651875
31,154.384,0.98837,0.58931,0.96591,0.86924,0.87424,0.94385,0.63283,1.27391,0.78102,1.08361,0.00063125,0.00063125,0.00063125
32,159.254,0.97698,0.56019,0.9968,0.9319,0.87137,0.94374,0.63112,1.19638,0.77943,1.05216,0.000610625,0.000610625,0.000610625
33,164.016,0.98971,0.59123,0.99478,0.89135,0.88684,0.93299,0.63139,1.17992,0.75915,1.04916,0.00059,0.00059,0.00059
34,168.913,1.0066,0.58049,0.99821,0.94976,0.85271,0.93121,0.62525,1.23617,0.7792,1.06666,0.000569375,0.000569375,0.000569375
35,173.88,0.96165,0.57656,0.95648,0.86508,0.86741,0.92994,0.63136,1.1848,0.77444,1.05278,0.00054875,0.00054875,0.00054875
36,178.779,0.973,0.57456,0.97836,0.86164,0.86979,0.91791,0.62592,1.20666,0.7827,1.06468,0.000528125,0.000528125,0.000528125
37,183.574,0.9771,0.55871,0.97681,0.949,0.85122,0.9257,0.62504,1.27709,0.77718,1.0902,0.0005075,0.0005075,0.0005075
38,188.455,0.91914,0.56392,0.96405,0.93153,0.86504,0.9294,0.62634,1.32279,0.78475,1.10423,0.000486875,0.000486875,0.000486875
39,193.305,0.94602,0.54692,0.96741,0.92743,0.89333,0.94208,0.639,1.24983,0.76802,1.07957,0.00046625,0.00046625,0.00046625
40,198.275,0.97712,0.54138,0.96642,0.95393,0.88122,0.94325,0.63629,1.22136,0.7338,1.07091,0.000445625,0.000445625,0.000445625
41,203.125,0.9021,0.51426,0.9415,0.93545,0.87553,0.93914,0.63903,1.25223,0.7211,1.07075,0.000425,0.000425,0.000425
42,208.104,0.91557,0.5255,0.9518,0.98055,0.84993,0.94108,0.65773,1.20956,0.67938,1.05333,0.000404375,0.000404375,0.000404375
43,212.974,0.89801,0.50946,0.93208,0.94392,0.89019,0.95834,0.66832,1.22164,0.64931,1.06021,0.00038375,0.00038375,0.00038375
44,217.868,0.90433,0.52045,0.94352,0.96178,0.89555,0.9586,0.65641,1.22718,0.6634,1.06429,0.000363125,0.000363125,0.000363125
45,222.714,0.87139,0.5019,0.94844,0.97375,0.88587,0.9459,0.65788,1.20115,0.68653,1.06125,0.0003425,0.0003425,0.0003425
46,227.417,0.84818,0.49637,0.9354,0.90513,0.89445,0.93224,0.64849,1.18387,0.69526,1.05707,0.000321875,0.000321875,0.000321875
47,232.315,0.86892,0.50349,0.94419,0.90966,0.89853,0.93568,0.6418,1.2267,0.73275,1.07236,0.00030125,0.00030125,0.00030125
48,237.361,0.86312,0.48961,0.94127,0.95649,0.88695,0.94963,0.64868,1.2241,0.69821,1.06989,0.000280625,0.000280625,0.000280625
49,242.325,0.85738,0.50578,0.92609,0.94355,0.90911,0.95418,0.6598,1.20837,0.68793,1.06557,0.00026,0.00026,0.00026
50,247.169,0.87706,0.50568,0.94903,0.95188,0.90038,0.95549,0.66362,1.2277,0.67928,1.07174,0.000239375,0.000239375,0.000239375
51,251.886,0.84519,0.46747,0.93169,0.95785,0.91255,0.95847,0.66855,1.21941,0.66009,1.06865,0.00021875,0.00021875,0.00021875
52,256.733,0.80864,0.46679,0.9322,0.98462,0.90345,0.96428,0.67038,1.19948,0.66147,1.06236,0.000198125,0.000198125,0.000198125
53,261.531,0.83056,0.45025,0.92335,0.95863,0.91411,0.96287,0.68111,1.17997,0.65603,1.04745,0.0001775,0.0001775,0.0001775
54,266.267,0.79911,0.45502,0.93716,0.9199,0.93079,0.95982,0.67575,1.18435,0.65998,1.04803,0.000156875,0.000156875,0.000156875
55,271.022,0.78486,0.42997,0.90649,0.93128,0.92293,0.96015,0.66099,1.18881,0.64926,1.0533,0.00013625,0.00013625,0.00013625
56,275.822,0.80655,0.43204,0.91908,0.93699,0.91923,0.96139,0.66066,1.18372,0.63962,1.05199,0.000115625,0.000115625,0.000115625
57,280.617,0.78474,0.42844,0.91695,0.93166,0.92649,0.96161,0.67101,1.17893,0.63123,1.05109,9.5e-05,9.5e-05,9.5e-05
58,285.402,0.75631,0.42399,0.90992,0.92814,0.92385,0.95469,0.67747,1.17956,0.62721,1.05019,7.4375e-05,7.4375e-05,7.4375e-05
59,290.066,0.73411,0.41262,0.9065,0.91874,0.92522,0.95462,0.68047,1.17555,0.62155,1.04815,5.375e-05,5.375e-05,5.375e-05
60,294.68,0.76399,0.43035,0.90078,0.91488,0.91692,0.95502,0.68094,1.17372,0.61874,1.0474,3.3125e-05,3.3125e-05,3.3125e-05
